Year,Month,Day,Time (in MPH),Speed
2020,10,18,12:23:17,<Direction.ENTER: 1>
2020,10,18,12:24:30,<Direction.ENTER: 1>
2020,10,18,12:24:31,<Direction.ENTER: 1>
2020,10,18,12:25:16,<Direction.ENTER: 1>
2020,10,18,12:25:38,<Direction.ENTER: 1>
2020,10,18,12:26:06,<Direction.ENTER: 1>
2020,10,18,12:26:53,<Direction.ENTER: 1>
2020,10,18,12:27:41,<Direction.ENTER: 1>
2020,10,18,12:27:49,<Direction.ENTER: 1>
2020,10,18,12:31:27,<Direction.ENTER: 1>
2020,10,18,12:36:57,<Direction.ENTER: 1>
2020,10,18,12:37:08,<Direction.ENTER: 1>
2020,10,18,12:37:12,<Direction.ENTER: 1>
2020,10,18,12:37:28,<Direction.ENTER: 1>
2020,10,18,12:41:30,<Direction.ENTER: 1>
2020,10,18,12:44:41,<Direction.ENTER: 1>
2020,10,18,12:45:52,<Direction.ENTER: 1>
2020,10,18,12:47:18,<Direction.ENTER: 1>
2020,10,18,12:47:20,<Direction.ENTER: 1>
2020,10,18,12:54:30,<Direction.ENTER: 1>
2020,10,18,12:54:33,<Direction.ENTER: 1>
2020,10,18,12:55:03,<Direction.ENTER: 1>
2020,10,18,12:55:04,<Direction.ENTER: 1>
2020,10,18,12:58:23,<Direction.ENTER: 1>
2020,10,18,12:58:23,<Direction.ENTER: 1>
2020,10,18,13:01:27,<Direction.ENTER: 1>
2020,10,18,13:01:29,<Direction.ENTER: 1>
2020,10,18,13:01:29,<Direction.ENTER: 1>
2020,10,18,13:02:33,<Direction.ENTER: 1>
2020,10,18,13:02:38,<Direction.ENTER: 1>
2020,10,18,13:02:53,<Direction.ENTER: 1>
2020,10,18,13:02:56,<Direction.ENTER: 1>
2020,10,18,13:04:18,<Direction.ENTER: 1>
2020,10,18,13:04:18,<Direction.ENTER: 1>
2020,10,18,13:07:32,<Direction.ENTER: 1>
2020,10,18,13:07:33,<Direction.ENTER: 1>
2020,10,18,13:11:45,<Direction.ENTER: 1>
2020,10,18,13:14:56,<Direction.ENTER: 1>
2020,10,18,13:16:36,<Direction.ENTER: 1>
2020,10,18,13:19:17,<Direction.ENTER: 1>
2020,10,18,13:20:12,<Direction.ENTER: 1>
2020,10,18,13:21:04,<Direction.ENTER: 1>
2020,10,18,13:21:07,<Direction.ENTER: 1>
2020,10,18,13:21:27,<Direction.ENTER: 1>
2020,10,18,13:22:18,<Direction.ENTER: 1>
2020,10,18,13:22:21,<Direction.ENTER: 1>
2020,10,18,13:22:22,<Direction.ENTER: 1>
2020,10,18,13:25:34,<Direction.ENTER: 1>
2020,10,18,13:27:18,<Direction.ENTER: 1>
2020,10,18,13:27:41,<Direction.ENTER: 1>
2020,10,18,13:28:01,<Direction.ENTER: 1>
2020,10,18,13:28:01,<Direction.ENTER: 1>
2020,10,18,13:29:14,<Direction.ENTER: 1>
2020,10,18,13:29:36,<Direction.ENTER: 1>
2020,10,18,13:29:37,<Direction.ENTER: 1>
2020,10,18,13:30:50,<Direction.ENTER: 1>
2020,10,18,13:36:21,<Direction.ENTER: 1>
2020,10,18,13:36:22,<Direction.ENTER: 1>
2020,10,18,13:36:22,<Direction.ENTER: 1>
2020,10,18,13:36:49,<Direction.ENTER: 1>
2020,10,18,13:38:24,<Direction.ENTER: 1>
2020,10,18,13:38:26,<Direction.ENTER: 1>
2020,10,18,13:38:27,<Direction.ENTER: 1>
2020,10,18,13:38:37,<Direction.ENTER: 1>
2020,10,18,13:42:03,<Direction.ENTER: 1>
2020,10,18,13:45:08,<Direction.ENTER: 1>
2020,10,18,13:47:06,<Direction.ENTER: 1>
2020,10,18,13:47:07,<Direction.ENTER: 1>
2020,10,18,13:47:27,<Direction.ENTER: 1>
2020,10,18,13:47:49,<Direction.ENTER: 1>
2020,10,18,13:47:51,<Direction.ENTER: 1>
2020,10,18,13:48:27,<Direction.ENTER: 1>
2020,10,18,13:48:46,<Direction.ENTER: 1>
2020,10,18,13:50:31,<Direction.ENTER: 1>
2020,10,18,13:50:31,<Direction.ENTER: 1>
2020,10,18,13:51:07,<Direction.ENTER: 1>
2020,10,18,13:53:44,<Direction.ENTER: 1>
2020,10,18,13:55:17,<Direction.ENTER: 1>
2020,10,18,13:55:18,<Direction.ENTER: 1>
2020,10,18,13:56:03,<Direction.ENTER: 1>
2020,10,18,13:56:05,<Direction.ENTER: 1>
2020,10,18,13:57:50,<Direction.ENTER: 1>
2020,10,18,13:58:27,<Direction.ENTER: 1>
2020,10,18,13:58:30,<Direction.ENTER: 1>
2020,10,18,13:58:33,<Direction.ENTER: 1>
2020,10,18,14:01:32,<Direction.ENTER: 1>
2020,10,18,14:01:33,<Direction.ENTER: 1>
2020,10,18,14:03:45,<Direction.ENTER: 1>
2020,10,18,14:03:45,<Direction.ENTER: 1>
2020,10,18,14:03:46,<Direction.ENTER: 1>
2020,10,18,14:06:15,<Direction.ENTER: 1>
2020,10,18,14:06:20,<Direction.ENTER: 1>
2020,10,18,14:11:25,<Direction.ENTER: 1>
2020,10,18,14:11:37,<Direction.ENTER: 1>
2020,10,18,14:11:37,<Direction.ENTER: 1>
2020,10,18,14:19:36,<Direction.ENTER: 1>
2020,10,18,14:21:05,<Direction.ENTER: 1>
2020,10,18,14:24:15,<Direction.ENTER: 1>
